route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,peak_offpeak
3,7852,9462876,Grand Central,6547,1,,5,1,0
3,7852,9462877,New Haven,6548,0,,16,1,0
3,7852,9462878,Grand Central,6549,1,,5,1,0
3,7852,9462879,New Haven,6550,0,,16,1,0
3,7852,9462880,Grand Central,6551,1,,5,1,0
3,7852,9462881,New Haven,6552,0,,16,1,0
3,7852,9462882,Grand Central,6553,1,,5,1,0
3,7852,9462883,New Haven,6554,0,,16,1,0
3,7852,9462884,Grand Central,6555,1,,5,1,0
3,7852,9462885,New Haven,6556,0,,16,1,0
3,7852,9462886,Grand Central,6557,1,,5,1,0
3,7852,9462887,New Haven,6558,0,,16,1,0
3,7852,9462888,Grand Central,6559,1,,5,1,0
3,7852,9462889,New Haven,6560,0,,16,1,0
3,7852,9462890,Grand Central,6561,1,,5,1,0
3,7852,9462891,New Haven,6562,0,,16,1,0
3,7852,9462892,New Haven,6564,0,,16,1,0
3,7852,9462893,Grand Central,6565,1,,5,1,0
3,7852,9462894,New Haven,6566,0,,16,1,0
3,7852,9462895,New Haven,6568,0,,16,1,0
3,7852,9462896,Grand Central,6569,1,,5,1,0
3,7852,9462897,New Haven,6570,0,,16,1,0
3,7852,9462898,Grand Central,6571,1,,5,1,0
3,7852,9462899,Grand Central,6573,1,,5,1,0
3,7852,9462900,New Haven,6598,0,,16,1,0
4,7852,9462902,New Canaan,6704,0,,19,1,0
4,7852,9462903,Stamford,6705,1,,8,1,0
4,7852,9462904,New Canaan,6706,0,,19,1,0
4,7852,9462905,Stamford,6709,1,,8,1,0
4,7852,9462906,New Canaan,6710,0,,19,1,0
4,7852,9462907,Stamford,6713,1,,8,1,0
4,7852,9462908,New Canaan,6714,0,,19,1,0
4,7852,9462909,Stamford,6717,1,,8,1,0
4,7852,9462910,New Canaan,6718,0,,19,1,0
4,7852,9462911,Stamford,6721,1,,8,1,0
4,7852,9462912,New Canaan,6722,0,,19,1,0
4,7852,9462913,Stamford,6725,1,,8,1,0
4,7852,9462914,New Canaan,6726,0,,19,1,0
4,7852,9462915,Stamford,6729,1,,8,1,0
4,7852,9462916,New Canaan,6730,0,,19,1,0
4,7852,9462917,Stamford,6733,1,,8,1,0
4,7852,9462918,New Canaan,6734,0,,19,1,0
4,7852,9462919,Stamford,6737,1,,8,1,0
4,7852,9462920,New Canaan,6738,0,,19,1,0
4,7852,9462921,Stamford,6741,1,,8,1,0
4,7852,9462922,New Canaan,6742,0,,19,1,0
4,7852,9462923,Stamford,6745,1,,8,1,0
4,7852,9462924,New Canaan,6746,0,,19,1,0
4,7852,9462925,Stamford,6749,1,,8,1,0
4,7852,9462926,New Canaan,6750,0,,19,1,0
4,7852,9462927,Stamford,6753,1,,8,1,0
4,7852,9462928,New Canaan,6754,0,,19,1,0
4,7852,9462929,Stamford,6757,1,,8,1,0
4,7852,9462930,New Canaan,6758,0,,19,1,0
4,7852,9462931,Stamford,6761,1,,8,1,0
4,7852,9462932,New Canaan,6762,0,,19,1,0
4,7852,9462933,Stamford,6765,1,,8,1,0
4,7852,9462934,New Canaan,6766,0,,19,1,0
4,7852,9462935,Stamford,6769,1,,8,1,0
4,7852,9462936,New Canaan,6770,0,,19,1,0
4,7852,9462937,Stamford,6771,1,,8,1,0
4,7852,9462938,New Canaan,6798,0,,19,1,0
5,7852,9462940,Danbury,6810,0,,21,1,0
5,7852,9462941,South Norwalk,6813,1,,10,1,0
5,7852,9462942,Danbury,6822,0,,21,1,0
5,7852,9462943,South Norwalk,6825,1,,10,1,0
5,7852,9462944,Danbury,6834,0,,21,1,0
5,7852,9462945,South Norwalk,6837,1,,10,1,0
5,7852,9462946,Danbury,6846,0,,21,1,0
5,7852,9462947,South Norwalk,6849,1,,10,1,0
5,7852,9462948,South Norwalk,6861,1,,10,1,0
5,7852,9462949,Danbury,6862,0,,21,1,0
5,7852,9462950,Danbury,6870,0,,21,1,0
5,7852,9462951,South Norwalk,6873,1,,10,1,0
6,7852,9462953,Waterbury,6906,0,,22,1,0
6,7852,9462954,Bridgeport,6913,1,,11,1,0
6,7852,9462955,Waterbury,6918,0,,22,1,0
6,7852,9462956,Bridgeport,6925,1,,11,1,0
6,7852,9462957,Waterbury,6930,0,,22,1,0
6,7852,9462958,Bridgeport,6937,1,,11,1,0
6,7852,9462959,Waterbury,6942,0,,22,1,0
